company_ticker,event_date
PKG,7/22/2016
PKG,10/21/2016
PKG,2/01/2017
PKG,4/28/2017
PKG,7/28/2017
PKG,10/27/2017
PKG,4/26/2018
PKG,1/31/2019
PKG,4/26/2019
PKG,7/26/2019
PKG,10/25/2019
PKG,1/31/2020
PKG,4/29/2020
PKG,7/30/2020
PKG,10/28/2020
PKI,2/05/2010
PKI,5/07/2010
PKI,8/06/2010
PKI,11/05/2010
PKI,2/04/2011
PKI,5/06/2011
PKI,8/05/2011
PKI,11/04/2011
PKI,2/03/2012
PKI,4/27/2012
PKI,8/03/2012
PKI,10/26/2012
PKI,2/01/2013
PKI,4/26/2013
PKI,8/02/2013
PKI,10/31/2013
PKI,1/31/2014
PKI,4/25/2014
PKI,8/01/2014
PKI,10/31/2014
PKI,1/30/2015
PKI,5/01/2015
PKI,7/31/2015
PKI,11/06/2015
PKI,2/05/2016
PKI,5/06/2016
PKI,8/05/2016
PKI,11/08/2016
PKI,2/03/2017
PKI,5/05/2017
PKI,8/04/2017
PKI,11/03/2017
PKI,2/01/2019
PKI,4/26/2019
PKI,7/30/2019
PKI,10/31/2019
PKI,1/28/2020
PKI,5/06/2020
PKI,7/29/2020
PKI,10/29/2020
PM,2/12/2010
PM,4/23/2010
PM,7/23/2010
PM,10/22/2010
PM,2/11/2011
PM,7/22/2011
PM,10/21/2011
PM,2/10/2012
PPG,1/22/2010
PPG,4/16/2010
PPG,7/16/2010
PPG,10/22/2010
PPG,1/21/2011
PPG,7/22/2011
PPG,10/21/2011
PPG,1/20/2012
PPG,4/20/2012
PPG,7/20/2012
PPG,10/19/2012
PPG,1/15/2013
PPG,4/19/2013
PPG,7/19/2013
PPG,10/18/2013
PPG,1/17/2014
PPG,7/18/2014
PPG,10/17/2014
PPG,1/16/2015
PPG,4/17/2015
PPG,7/17/2015
PPG,10/16/2015
PPG,1/22/2016
PPG,4/22/2016
PPG,7/22/2016
PPG,10/21/2016
PPG,1/20/2017
PPG,4/21/2017
PPG,7/21/2017
PPG,10/20/2017
PPG,4/20/2018
PPG,1/18/2019
PPG,7/19/2019
PPG,10/18/2019
PPG,1/17/2020
PPG,4/29/2020
PPG,10/21/2020
PPL,8/11/2020
PPL,11/06/2020
PSA,10/31/2019
PSX,11/01/2012
PSX,1/31/2013
PSX,5/02/2013
PSX,8/01/2013
PSX,10/31/2013
PSX,1/30/2014
PSX,5/01/2014
PSX,7/31/2014
PSX,10/30/2014
PSX,1/30/2015
PSX,5/01/2015
PSX,8/02/2017
PSX,5/01/2019
PVH,3/24/2010
PVH,5/26/2010
PVH,9/09/2010
PVH,3/30/2011
PVH,6/02/2011
PVH,9/01/2011
PVH,12/02/2011
PVH,3/29/2012
PVH,5/25/2012
PVH,8/29/2012
PVH,11/29/2012
PVH,6/14/2013
PVH,9/11/2013
PVH,12/11/2013
PVH,3/27/2014
PVH,6/06/2014
PVH,9/05/2014
PVH,12/05/2014
PVH,3/27/2015
PVH,6/03/2015
PVH,8/28/2015
PVH,12/04/2015
PVH,5/27/2016
PVH,8/26/2016
PVH,12/02/2016
PVH,3/24/2017
PVH,5/26/2017
PVH,8/25/2017
PVH,12/01/2017
PVH,3/29/2019
PVH,5/31/2019
PVH,8/30/2019
PVH,11/27/2019
PVH,4/03/2020
PVH,9/04/2020
PWR,2/23/2010
PWR,5/06/2010
PWR,8/05/2010
PWR,11/04/2010
PWR,2/24/2011
PWR,5/05/2011
PWR,8/04/2011
PWR,11/03/2011
PWR,2/23/2012
PWR,5/04/2012
PWR,8/03/2012
PWR,11/01/2012
PWR,2/22/2013
PWR,5/03/2013
PWR,8/02/2013
PWR,11/01/2013
PWR,2/21/2014
PWR,5/02/2014
